epoch	loss_func_tr	loss_func_val	accuracy_tr	accuracy_val
1	0.2890942630823702	0.27535324087366464	87.55	89.66
2	0.20982007754500956	0.257236544135958	91.54	90.57
3	0.19119508166331797	0.2809551336802542	92.38	90.03
4	0.18713514676783233	0.21509132403880357	92.57	92.47
5	0.17230239848140627	0.26256976411677896	93.15	91.88
6	0.16578974251169712	0.27160259783267976	93.55	90.77
7	0.16058672049548478	0.22214158549904822	93.64	92.59
8	0.15879520650487394	0.27475932287052274	93.81	90.46
9	0.1487057767342776	0.20760644767433406	94.08	93.32
10	0.15449417236959562	0.26580702075734736	93.96	91.0
11	0.14084246702259406	0.2907905741594732	94.34	92.09
12	0.15088243967620657	0.28493287982419135	94.08	92.12
13	0.1341493699233979	0.22838498381897807	94.69	92.28
14	0.1346039340365678	0.24314506789669393	94.66	91.48
15	0.1298032855032943	0.25168248657137154	94.8	92.78
16	0.12952705417992547	0.22995111551135777	94.84	93.04
17	0.12488566376268864	0.26065073497593405	95.09	92.42
18	0.1244810820557177	0.23770067878067494	95.13	93.03
19	0.12156805187696591	0.3012070839293301	95.29	92.45
20	0.11981552573852242	0.28589003030210736	95.37	92.35
21	0.11470134630799293	0.27210270036011935	95.56	92.95
22	0.11852930657332764	0.25898211072199046	95.35	92.87
23	0.12035579376388342	0.2392518016975373	95.28	93.56
24	0.1097222238779068	0.22458298723213374	95.81	92.6
25	0.10840358049608767	0.2656095293816179	95.75	93.0
26	0.10833937610732391	0.22149386391974984	95.69	93.79
27	0.10847205395111814	0.25385671402327714	95.83	93.39
28	0.10304354171967134	0.2118191798683256	96.07	93.75
29	0.10101647247211076	0.2819185288622975	96.07	93.09
30	0.09923649681732058	0.22303757811896502	96.17	93.26
31	0.09740752339130268	0.2626464675180614	96.22	92.83
32	0.09609494323376566	0.22817992833442985	96.28	93.15
33	0.09768822079058737	0.24493660922162236	96.22	93.66
34	0.0935733582591638	0.22243958422914148	96.47	94.15
35	0.09335538571467623	0.25551532572135327	96.39	93.88
36	0.08997539755073376	0.1815517836716026	96.55	94.25
37	0.09205294401617721	0.24411010849289597	96.45	92.6
38	0.08510177643620409	0.2159129603765905	96.71	93.92
39	0.09198094003950245	0.22209079386666417	96.53	93.82
40	0.08483610783005133	0.21419178345240653	96.78	93.73
